ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Avg_Salary
29,Clinical Data Scientist,4,"Pfizer
4.0","Groton, CT","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,63000,105000,84,Pfizer,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,84000
30,Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,80000,90000,85,KnowBe4,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,85000
31,Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56000,97000,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,76500
32,Data Scientist,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 - 5000,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",0,0,72000,120000,96,Amrock,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,96000
33,Data Scientist / Machine Learning Expert,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,86000,143000,114.5,Novartis,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,sr,M,114500
34,Data Scientist,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 - 10000,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",0,0,93000,149000,121,Juniper Networks,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,sr,M,121000
35,Data Scientist,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 - 500,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85000,140000,112.5,New England Biolabs,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,112500
36,Web Data Analyst,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 - 500,2008,Company - Private,IT Services,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,77000,135000,106,Clarity Insights,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,sr,M,106000
37,Data Scientist,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 - 5000,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82000,132000,107,Esri,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,sr,M,107000
38,Data Scientist,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 - 500,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,83000,137000,110,Systems & Technology Research,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,sr,P,110000
39,Senior Data Scientist,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 - 10000,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",0,0,115000,180000,147.5,Sartorius,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,147500
40,Data Engineer,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 - 500,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,74000,138000,106,Lancer Insurance,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,M,106000
41,Data Analyst,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 - 500,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64000,112000,88,Sauce Labs,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,sr,M,88000
43,Data Engineer,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",1001 - 5000,2010,Company - Private,Biotech & Pharmaceuticals,Information Technology,Less than $1 million (USD),"Novartis, Baxter, Pfizer",0,0,68000,129000,98.5,Persivia,MA,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,M,98500
44,Data Scientist - Algorithms & Inference,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 - 200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,110000,175000,142.5,Nuna,CA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,142500
45,Scientist,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 - 10000,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52000,113000,82.5,Edgewell Personal Care,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M,82500
46,Senior Data Scientist,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 - 5000,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110000,150000,130,Equity Residential,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M,130000
48,Data Scientist,5,"BPA Services
5.0","Washington, DC","Alexandria, VA",1001 - 5000,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,1,150000,160000,155,BPA Services,DC,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,155000
49,Lead Data Scientist,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158000,211000,184.5,Visa Inc.,WA,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,184500
50,Associate Data Analyst,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 - 10000,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",0,0,20000,39000,29.5,Intrado,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,sr,M,29500
51,Spectral Scientist/Engineer,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 - 1000,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56000,117000,86.5,Centauri,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M,86500
52,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63000,99000,81,Caterpillar,IL,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,81000
54,Data Scientist,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,68000,114000,91,Zimmerman Advertising,FL,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,sr,M,91000
55,"Data Scientist, Office of Data Science",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86000,143000,114.5,Liberty Mutual Insurance,MA,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,114500
56,Data Science Analyst,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 - 5000,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,41000,95000,68,"Torch Technologies, Inc.",AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,68000
57,Data Scientist,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86000,144000,115,Swiss Re,NY,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,115000
58,Data Scientist,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,80000,139000,109.5,Northrop Grumman,CA,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,109500
59,Data Scientist,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 - 10000,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",0,0,56000,95000,75.5,Sartorius,NM,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,75500
60,Data Scientist,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 - 1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120000,189000,154.5,Netskope,CA,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,sr,P,154500
61,Data Scientist,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 - 200,2016,Company - Private,IT Services,Information Technology,$10+ billion (USD),"Slalom, Daugherty Business Solutions",0,0,111000,176000,143.5,1904labs,MO,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,sr,M,143500
62,Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 - 1000,2008,Company - Private,Banks & Credit Unions,Finance,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,54000,93000,73.5,ClearOne Advantage,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,73500
63,Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 - 500,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71000,119000,95,CyrusOne,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,sr,M,95000
65,Senior Data Scientist,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 - 500,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,82000,132000,107,The David J. Joseph Company,OH,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M,107000
66,Data Scientist,4.3,"USEReady
4.3","New York, NY","New York, NY",201 - 500,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),"Novartis, Baxter, Pfizer",0,0,84000,146000,115,USEReady,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,sr,M,115000
67,Senior Risk Data Scientist,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 - 1000,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),"Novartis, Baxter, Pfizer",0,0,107000,172000,139.5,Bill.com,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,139500
68,Data Scientist in Artificial Intelligence Early Career,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49000,85000,67,Pacific Northwest National Laboratory,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,sr,M,67000
70,Data Scientist,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61000,109000,85,DICK'S Sporting Goods - Corporate,PA,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,sr,M,85000
72,Data Scientist,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 - 200,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"Novartis, Baxter, Pfizer",0,0,88000,148000,118,Berg Health,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P,118000
73,Data Scientist,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 - 200,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Novartis, Baxter, Pfizer",0,0,60000,99000,79.5,Oversight Systems,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,sr,M,79500
75,Data Scientist - Research,3.1,"C Space
3.1","Boston, MA","Boston, MA",201 - 500,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41000,72000,56.5,C Space,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,56500
76,Data Scientist,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1001 - 5000,2010,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"Novartis, Baxter, Pfizer",0,0,96000,161000,128.5,"Numeric, LLC",PA,11,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,128500
77,R&D Data Analysis Scientist,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+,1939,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,65000,130000,97.5,HP Inc.,WA,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M,97500
78,Analytics Consultant,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",1001 - 5000,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,52000,81000,66.5,SpringML,IN,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,sr,M,66500
79,"Director, Data Science",3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,139000,220000,179.5,Grainger,IL,94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,179500
80,Scientist,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 - 1000,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),"Novartis, Baxter, Pfizer",0,0,50000,102000,76,EAG Laboratories,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,76000
81,Data Scientist SR,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 - 1000,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85000,139000,112,The Buffalo Group,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,112000
82,Data Scientist,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74000,122000,98,Carmeuse,PA,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,sr,M,98000
